filename;deployment_time;sim_time;pods_per_node
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-1.xml;56.662763833999634;460.322;1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-2.xml;68.51710486412048;438.367;1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-3.xml;86.95413041114807;435.422;1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-4.xml;106.24947261810303;467.72;1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-5.xml;128.2427761554718;460.571;1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-6.xml;130.59091091156006;468.761;1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-7.xml;155.77121806144714;431.706;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-8.xml;168.37569570541382;636.249;2-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-9.xml;183.5434069633484;577.27;2-2-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-10.xml;202.93357396125793;610.86;2-2-2-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-11.xml;230.4629168510437;617.498;2-2-2-2-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-12.xml;232.04971075057983;564.748;2-2-2-2-2-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-13.xml;248.89358139038086;630.533;2-2-2-2-2-2-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-14.xml;274.6216902732849;549.605;2-2-2-2-2-2-2-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-15.xml;317.8092796802521;630.856;2-2-2-2-2-2-2-2
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p1-20.xml;369.81996035575867;752.442;3-3-3-3-3-2-2-2
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p2-7.xml;163.16273736953735;333.542;2-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p3-7.xml;182.03888702392578;332.978;2-2-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p4-7.xml;212.2565279006958;332.623;2-2-2-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p5-7.xml;228.10663270950317;325.536;2-2-2-2-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p10-7.xml;306.85564517974854;333.005;3-2-2-2-2-2-2-2
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p15-7.xml;416.7205972671509;329.423;3-3-3-3-3-3-2-2
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p20-7.xml;459.9195966720581;338.458;4-4-4-3-3-3-3-3
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p25-7.xml;546.8093576431274;338.124;4-4-4-4-4-4-4-4
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p30-7.xml;631.2732152938843;337.373;5-5-5-5-5-4-4-4
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p2-6.xml;147.70000672340393;361.819;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p3-5.xml;144.87474036216736;347.551;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p4-4.xml;147.61009669303894;332.487;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p5-3.xml;148.64850163459778;319.682;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p6-2.xml;143.78034257888794;318.37;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast-single/HO_s-15_t-ChiSquaredDistribution-2_p7-1.xml;147.94686675071716;329.145;1-1-1-1-1-1-1-1
