filename;deployment_time;sim_time;pods_per_node
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p1-1.xml;63.41886043548584;461.434;1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p1-1.xml;54.828059673309326;470.194;1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p1-1.xml;54.3724901676178;489.934;1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p2-1.xml;87.10853123664856;387.769;1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p1-1.xml;53.404306411743164;514.985;1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p2-1.xml;71.34113764762878;390.267;1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p3-1.xml;93.67835545539856;350.951;1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p4-1.xml;106.17235469818115;347.082;1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p5-1.xml;128.03171229362488;339.887;1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p6-1.xml;141.9092755317688;343.078;1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p6-1.xml;184.70131754875183;341.72;1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-1.xml;197.5243000984192;336.212;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p8-1.xml;214.38765621185303;375.115;2-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p9-1.xml;232.95480012893677;367.51;2-2-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p10-1.xml;280.65983510017395;383.273;2-2-2-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p11-1.xml;292.30152916908264;374.985;2-2-2-2-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p12-1.xml;320.87006759643555;375.98;2-2-2-2-2-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p13-1.xml;338.09967970848083;363.407;2-2-2-2-2-2-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p14-1.xml;323.712997674942;375.797;2-2-2-2-2-2-2-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p15-1.xml;364.46541714668274;377.568;2-2-2-2-2-2-2-2
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p20-1.xml;477.44699478149414;403.744;3-3-3-3-3-2-2-2
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p25-1.xml;556.816885471344;429.792;4-4-3-3-3-3-3-3
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p30-1.xml;677.0464527606964;444.848;4-4-4-4-4-4-4-3
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-2.xml;219.28244066238403;341.608;2-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-3.xml;233.59780406951904;342.314;2-2-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-4.xml;284.8540589809418;337.834;2-2-2-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-5.xml;292.79119777679443;341.133;2-2-2-2-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-10.xml;384.90339708328247;360.629;3-2-2-2-2-2-2-2
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-15.xml;482.5831890106201;375.97;3-3-3-3-3-3-2-2
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-20.xml;558.6657001972198;376.893;4-4-4-3-3-3-3-3
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-25.xml;658.2698304653168;378.597;4-4-4-4-4-4-4-4
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p7-30.xml;782.172816991806;394.731;5-5-5-5-5-4-4-4
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p6-2.xml;185.09676218032837;322.748;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p5-3.xml;180.95098233222961;325.692;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p4-4.xml;182.12538123130798;335.956;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p3-5.xml;192.22291445732117;363.885;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p2-6.xml;199.8416941165924;386.531;1-1-1-1-1-1-1-1
data/fixed-75-perc-fast/HO_s-15_t-ChiSquaredDistribution-2_p1-7.xml;215.21729803085327;493.705;1-1-1-1-1-1-1-1
